EbayID,Labels
63531,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Plates_Chargers
63532,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Platters_Trays
63533,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Salt_PepperShakers
63534,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Teapots_TeaSets
63535,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Tiles
63536,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Tureens
163005,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Urns
63530,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Vases
2203,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>OtherAntiqueCeramics
63537,Ebay>Antiques>DecorativeArts>Clocks
162990,Ebay>Antiques>DecorativeArts>Glass>Bottles
63539,Ebay>Antiques>DecorativeArts>Glass>Bowls
162991,Ebay>Antiques>DecorativeArts>Glass>CandleHolders
162992,Ebay>Antiques>DecorativeArts>Glass>Candlesticks
162993,Ebay>Antiques>DecorativeArts>Glass>Compotes
63541,Ebay>Antiques>DecorativeArts>Glass>Decanters
162995,Ebay>Antiques>DecorativeArts>Glass>Dishes
162996,Ebay>Antiques>DecorativeArts>Glass>Figurines
63540,Ebay>Antiques>DecorativeArts>Glass>Jars
162994,Ebay>Antiques>DecorativeArts>Glass>Jugs
63542,Ebay>Antiques>DecorativeArts>Glass>PerfumeBottles
63543,Ebay>Antiques>DecorativeArts>Glass>Pitchers
63544,Ebay>Antiques>DecorativeArts>Glass>Plates
162997,Ebay>Antiques>DecorativeArts>Glass>Salt_PepperShakers
63545,Ebay>Antiques>DecorativeArts>Glass>Stemware
63546,Ebay>Antiques>DecorativeArts>Glass>Vases
2205,Ebay>Antiques>DecorativeArts>Glass>OtherAntiqueGlass
63547,Ebay>Antiques>DecorativeArts>Lamps
1211,Ebay>Antiques>DecorativeArts>Metalware
20089,Ebay>Antiques>DecorativeArts>Mirrors
40024,Ebay>Antiques>DecorativeArts>PictureFrames
1218,Ebay>Antiques>DecorativeArts>Toleware
37942,Ebay>Antiques>DecorativeArts>Woodenware>Bowls
37943,Ebay>Antiques>DecorativeArts>Woodenware>Boxes
162998,Ebay>Antiques>DecorativeArts>Woodenware>CarvedFigures
37944,Ebay>Antiques>DecorativeArts>Woodenware>Trays
1219,Ebay>Antiques>DecorativeArts>Woodenware>OtherAntiqueWoodenware
171172,Ebay>Antiques>DecorativeArts>PriceGuides_Publications
73467,Ebay>Antiques>DecorativeArts>OtherAntiqueDecorativeArts
163007,Ebay>Antiques>Ethnographic>African>Jewelry
37946,Ebay>Antiques>Ethnographic>African>Masks
37947,Ebay>Antiques>Ethnographic>African>Sculptures_Statues
4171,Ebay>Antiques>Ethnographic>African>OtherAfricanAntiques
4170,Ebay>Antiques>Ethnographic>LatinAmerican
4173,Ebay>Antiques>Ethnographic>NativeAmerican
4172,Ebay>Antiques>Ethnographic>PacificIslands_Oceania
171173,Ebay>Antiques>Ethnographic>PriceGuides_Publications
2204,Ebay>Antiques>Ethnographic>OtherEthnographicAntiques
98437,Ebay>Antiques>Furniture>Armoires_Wardrobes>Pre_1800
60275,Ebay>Antiques>Furniture>Armoires_Wardrobes>1800_1899
66858,Ebay>Antiques>Furniture>Armoires_Wardrobes>1900_1950
162894,Ebay>Antiques>Furniture>Armoires_Wardrobes>Post_1950
162895,Ebay>Antiques>Furniture>Armoires_Wardrobes>Unknown
